,Unnamed: 0,Symbol,Security,GICS Sector,Market Cap,Average Volume,Return from 2017-2019 (Pre-Covid),Return from 2020-2022 (Post-Covid)
141,141,DHR,Danaher Corporation,Health Care,188814000000.0,3412788.0,94.8495558144077,72.39542858751251
142,142,DRI,Darden Restaurants,Consumer Discretionary,20627000000.0,1279614.0,48.852463971433544,25.983604723442795
143,143,DVA,DaVita Inc.,Health Care,9322000000.0,658956.0,14.426945127398755,-0.7839542260670838
144,144,DE,John Deere,Industrials,128104000000.00002,1736909.0,67.97839809942128,146.0743780121417
145,145,DAL,Delta Air Lines,Industrials,31238000000.0,11306582.0,18.817097663592527,-44.23892679419265
146,146,XRAY,Dentsply Sirona,Health Care,8661000000.0,1719733.0,-2.792138778185744,-43.97325509993392
147,147,DVN,Devon Energy,Energy,33535000000.0,8334516.0,-45.47201868207667,134.68142109922084
148,148,DXCM,Dexcom,Health Care,50625000000.0,2668551.0,263.3445419183298,107.24743617991855
149,149,FANG,Diamondback Energy,Energy,25578000000.0,1899416.0,-11.151219809927591,46.52383611684326
150,150,DLR,Digital Realty,Real Estate,35509000000.0,2970353.0,19.63797986531098,-16.44863356535567
151,151,DFS,Discover Financial,Financials,26692000000.0,2187250.0,15.953356666651667,14.945366149082187
152,152,DIS,Disney,Communication Services,159304000000.0,14285683.0,36.53371330083825,-40.202353040021634
153,153,DG,Dollar General,Consumer Staples,36650000000.0,3069630.0,111.66264979127438,56.89710403830496
154,154,DLTR,Dollar Tree,Consumer Staples,33404000000.000004,2263680.0,20.523395941185697,49.371632479288074
155,155,D,Dominion Energy,Utilities,44957000000.0,3901154.0,7.196032595260569,-26.013511429869908
156,156,DPZ,Domino's,Consumer Discretionary,13621000000.0,688574.0,84.17912181366644,17.907343279687534
157,157,DOV,Dover Corporation,Industrials,21274000000.0,798896.0,86.95729532631424,16.58200764804917
158,158,DOW,Dow Inc.,Materials,37523000000.0,4531017.0,3.0142182987448165,-8.763353598955893
159,159,DTE,DTE Energy,Utilities,23727000000.0,1252869.0,30.666393693409876,6.229037202352322
160,160,DUK,Duke Energy,Utilities,73042000000.0,2836867.0,16.92208516605011,12.828658239562323
161,161,DD,DuPont,Materials,34486000000.0,3487056.0,-23.487028553965544,5.910484600750742
162,162,DXC,DXC Technology,Information Technology,5881000000.0,1823583.0,-28.9183346011449,-30.318167629218234
163,163,EMN,Eastman Chemical Company,Materials,10394000000.0,908716.0,3.3096021326895024,1.293533452474614
164,164,ETN,Eaton Corporation,Industrials,82785000000.0,2060877.0,40.449778737387625,64.79420460796534
165,165,EBAY,eBay,Consumer Discretionary,25849000000.0,5069190.0,20.013407068801577,13.897284796749764
166,166,ECL,Ecolab,Materials,53861000000.0,1029358.0,62.22484817266252,-24.83734648040113
167,167,EIX,Edison International,Utilities,27728000000.0,1461856.0,4.110920931470794,-14.844064099169263
168,168,EW,Edwards Lifesciences,Health Care,56118000000.0,2621169.0,147.78252418845466,-2.682604671398815
169,169,EA,Electronic Arts,Communication Services,37296000000.0,2189875.0,34.4693219557616,13.192512082348264
170,170,ELV,Elevance Health,Health Care,112822000000.0,1376287.0,111.2287337347519,69.48159644021092
171,171,LLY,Eli Lilly and Company,Health Care,438602000000.0,2998896.0,77.57641157208033,177.6352618016487
172,172,EMR,Emerson Electric,Industrials,52138000000.0,2849259.0,35.893337673611114,25.45383040544398
173,173,ENPH,Enphase,Information Technology,24323000000.0,4034120.0,2387.255030748985,904.7780926152627
174,174,ETR,Entergy,Utilities,21988000000.0,1601451.0,62.285712624893705,-6.117000516606078
175,175,EOG,EOG Resources,Energy,72879000000.0,3358412.0,-19.721327492382315,53.60531871587662
