Symbol,Name,price,dividend yield,price/earnings,book value,52 week low,52 week high,market capitalization,ebitda,price/sales,price/book,SEC Filings
MAT,Mattel Inc.,35.65,3.05,15.94,7.6,23.5,35.69,12.154B,1.252B,1.94,4.66,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MAT&action=getcompany
MKC,McCormick & Co.,60.16,2.02,21.27,12.224,43.62,61.79,7.979B,665.6M,2.03,4.91,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MKC&action=getcompany
MCD,McDonald's Corp.,88.2,3.11,16.37,13.918,83.65,102.22,88.944B,9.851B,3.2,6.26,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MCD&action=getcompany
MHP,McGraw-Hill,49.19,2.07,15.43,5.935,36.43,50,13.783B,1.771B,2.16,8.21,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MHP&action=getcompany
MCK,McKesson Corp.,89.06,0.9,14.67,30.52,66.61,97.23,21.019B,2.919B,0.17,2.9,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MCK&action=getcompany
MJN,Mead Johnson,73,1.53,26.82,-0.085,60.62,88.72,14.875B,973.7M,3.88,N/A,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MJN&action=getcompany
MWV,MeadWestvaco Corporation,28.18,3.59,21.16,18.242,22.75,32.5,4.892B,977.0M,0.78,1.53,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MWV&action=getcompany
MDT,Medtronic Inc.,40.26,2.47,11.73,16.499,30.71,40.78,41.268B,5.470B,2.53,2.42,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MDT&action=getcompany
MRK,Merck & Co.,44.57,3.7,20.28,18.034,30.54,45.17,135.6B,18.049B,2.79,2.46,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MRK&action=getcompany
MET,MetLife Inc.,34.97,2.14,5.26,58.751,25.61,39.55,37.145B,12.709B,0.52,0.59,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MET&action=getcompany
PCS,MetroPCS Communications Inc.,9.03,N/A,9.76,8.596,5.53,12.17,3.282B,1.395B,0.64,1.02,http://www.sec.gov/cgi-bin/browse-edgar?CIK=PCS&action=getcompany
MCHP,Microchip Technology,35.06,4,22.5,10.431,29.3,38.88,6.782B,477.3M,4.96,3.34,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MCHP&action=getcompany
MU,Micron Technology,6.76,N/A,N/A,7.853,3.97,9.16,6.879B,1.710B,0.82,0.87,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MU&action=getcompany
MSFT,Microsoft Corp.,30.42,2.49,15.25,7.918,23.79,32.95,255.0B,30.714B,3.47,3.85,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MSFT&action=getcompany
MOLX,Molex Inc.,26.26,3.15,16.09,13.853,18.81,28.46,4.631B,668.3M,1.3,1.88,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MOLX&action=getcompany
TAP,Molson Coors Brewing Company,44.17,2.91,12.07,43.206,37.96,45.99,7.980B,673.2M,2.26,1.02,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TAP&action=getcompany
MON,Monsanto Co.,86.74,1.35,22.14,22.689,58.89,89.73,46.228B,3.948B,3.46,3.91,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MON&action=getcompany
MNST,Monster Beverage,54.27,N/A,37.09,6.058,38.195,83.96,9.563B,510.4M,5.99,10.1,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MNST&action=getcompany
MCO,Moody's Corp,39.61,1.52,15.74,0.446,26.79,43.05,8.805B,1.009B,3.69,88.79,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MCO&action=getcompany
MS,Morgan Stanley,14.61,1.36,11.96,30.741,11.58,21.19,28.890B,0,0.99,0.48,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MS&action=getcompany
MOS,The Mosaic Company,58.51,0.81,13.27,28.164,44.43,74,24.894B,3.152B,2.25,2.08,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MOS&action=getcompany
MSI,Motorola Solutions Inc.,48.1,1.84,23.44,13.44,38.36,52.78,13.771B,1.549B,1.61,3.55,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MSI&action=getcompany
MUR,Murphy Oil,54.96,1.5,12.2,47.91,40.41,65.6,10.674B,3.375B,0.38,1.15,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MUR&action=getcompany
MYL,Mylan Inc.,23.46,N/A,18.17,7.848,15.49,23.88,9.522B,1.629B,1.48,2.97,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MYL&action=getcompany
NBR,Nabors Industries Ltd.,15.23,N/A,146.07,19.696,11.05,22.73,4.421B,2.048B,0.65,0.79,http://www.sec.gov/cgi-bin/browse-edgar?CIK=NBR&action=getcompany
